message,cleaned,predicted,tags,inquiry,ALL_Categories
دة في اسكندريه,دة في اسكندريه,obj,place-,1,Location-Inquiry
دايما متألق درانى,دايما متالق دراني,pos,,0,Positive-Feedback
"لو سمحت هو دكتور راني لسا ف الايطالي
ولا الاندلسيه فقط",لو سمحت هو دكتور راني لسا ف الايطالي ولا الاندلسيه فقط,obj,place-,1,Location-Inquiry
مبروك الاندلسيه على دكتور رانى اشطر دكتور ف اسكندريه من نجاح لنجاح يادكتور,مبروك الاندلسيه علي دكتور راني اشطر دكتور ف اسكندريه من نجاح لنجاح يا دكتور,pos,place-,1,Positive-Feedback
محمد السيد خيرالله,محمد السيد خيرالله,obj,,0,General Conversation
ممكن اعرف بكام الولادة القيصري,ممكن اعرف بكام الولادة القيصري,obj,Medical_consult-price-,1,Mixed-Inquiries
ممكن اعرف بكام الولاده القيصريع,ممكن اعرف بكام الولاده القيصريع,obj,price-,1,Price-Inquiry
د راني فخر دفعة ٢٠٠٢,د راني فخر دفعة ٢٠٠٢,obj,,0,General Conversation
دكتور ممتاز وعن تجربة,دكتور ممتاز وعن تجربة,pos,,0,Positive-Feedback
لوحد مكسر منذ خمس سنوات وكل مايعمل عمليه ترجع تتكسر وتثوث هو عمل عمليه منذ ثلاث أشهر زرع عظم ممكن يشفه,لوحد مكسر منذ خمس سنوات وكل مايعمل عمليه ترجع تتكسر وتثوث هو عمل عمليه منذ ثلاث اشهر زرع عظم ممكن يشفه,obj,Medical_consult-,1,Medical-Consultation
لو الكسر قديم مالهوش حل  غير العمليه,لو الكسر قديم ما لهو حل غير العمليه,obj,Medical_consult-,1,Medical-Consultation
"ممكن بعد ازنك انا عندي زيده فل كرش بضرق ملحوظه وخصاتن تحت القفص اصدري 
بس مفش الم",ممكن بعد ازنك انا عندي زيده فل كرش بضرق ملحوظه وخصاتن تحت القفص اصدري بس مفش الم,obj,Medical_consult-,1,Medical-Consultation
طيب بالنسبه للتوازن وهل في أدويه جديده,طيب بالنسبه للتوازن وهل في ادويه جديده,obj,,0,General Conversation
بعانى من شئ من هذا القبيل و مفيش دكتور عارف يشخص ٢٢ دكتور والسبب مجهول,بعاني من شئ من هذا القبيل و مفيش دكتور عارف يشخص ٢٢ دكتور والسبب مجهول,obj,Medical_consult-,1,Medical-Consultation
تصلب الشرايين تقصد ,تصلب الشراين تقصد,obj,Medical_consult-,1,Medical-Consultation
الو ممكن اسال سؤال,الو ممكن اسال سؤال,obj,,1,General-Inquiry
ما شاء الله دكتور بيفهم بجد أنا بتعامل معاه ربنا يبارك فيه ويحميه,ما شاء الله دكتور بيفهم بجد انا بتعامل معاه ربنا يبارك فيه ويحميه,pos,,0,Positive-Feedback
جراح ممتاز ربنا يكرمه إن شاء الله,جراح ممتاز ربنا يكرمه ان شاء الله,pos,,0,Positive-Feedback
مواعيد امته دكتور خالد,مواعيد امته دكتور خالد,obj,datetime-,1,Appointments-Inquiry
العنوان وسعر الساعه كام,العنوان وسعر الساعه كام,obj,price-datetime-place-,1,Mixed-Inquiries
العنوان لو سمحت ضروري بالله عليك,العنوان لو سمحت ضروري بالله عليك,obj,place-,1,Location-Inquiry
العنوان لوسمحت,العنوان لوسمحت,obj,place-,1,Location-Inquiry
عنوان المستشفي بالضبط ارجو الرد المكان فين,عنوان المستشفي بالضبط ارجو الرد المكان فين,obj,place-,1,Location-Inquiry
مواعيد الأنف والأذن والحنجرة ,مواعيد الانف والاذن والحنجرة,obj,datetime-,1,Appointments-Inquiry
سعر الأشعة العنوان لوسمحت,سعر الاشعة العنوان لوسمحت,obj,Medical_consult-price-place-,1,Mixed-Inquiries
تكلفه الاشاعه كام,تكلفه الاشاعه كام,obj,price-,1,Price-Inquiry
Mustafa Anwer شوف كده واحجز,mustafa anwer شوف كده واحجز,obj,,0,General Conversation
سعر الكشف والمواعيد  لو سمحت,سعر الكشف والمواعيد لو سمحت,obj,price-,1,Price-Inquiry
سعر الاشاعه,سعر الاشاعه,obj,price-,1,Price-Inquiry
كم تكلفة العملية,كم تكلفة العملية,obj,Medical_consult-price-,1,Mixed-Inquiries
"تضخم الغضاريف واعوجاج فى الحاجز الانفي واضح في الاشعة المقطعية 
العملية تتكلف كام
وهل فعلا بترجع  تاني بعد العملية",تضخم الغضاريف واعوجاج في الحاجز الانفي واضح في الاشعة المقطعية العملية تتكلف كام وهل فعلا بترجع تاني بعد العملية,obj,Medical_consult-price-,1,Mixed-Inquiries
سعر الاشاعه وسعر كشف في الاسكندريه,سعر الاشاعه وسعر كشف في الاسكندريه,obj,Medical_consult-price-place-,1,Mixed-Inquiries
سعر الاشعه كام فرع الاسكندريه,سعر الاشعه كام فرع الاسكندريه,obj,price-place-,1,Mixed-Inquiries
كريم,كريم,obj,,0,General Conversation
لو سمحتوا سعر الا شعة كام,لو سمحتوا سعر الا شعة كام,obj,price-,1,Price-Inquiry
معلش عنوان القاهره مش واضح,معلش عنوان القاهره ما واضح,obj,place-,1,Location-Inquiry
في في اسكندريه,في اسكندريه,obj,place-,1,Location-Inquiry
فيه ف معادي,فيه ف معادي,obj,,0,General Conversation
هو حضرتك موجود فى اندلسية أى فرع يادكتور,هو حضرتك موجود في اندلسية اي فرع يا دكتور,obj,place-,1,Location-Inquiry
هو حضرتك بتكون متواجد في اندلسية سموحه امتا,هو حضرتك بتكون متواجد في اندلسية سموحه امتا,obj,Booking-place-,1,Mixed-Inquiries
بجد دكتوره مهتياب ماشاء الله عليها ربنا يباركلها ويزيدها علم شاطره وذوق جدا وبتسمع الحاله والتعامل معها مريحه جدا ,بجد دكتوره مهتياب ماشاء الله عليها ربنا يباركلها ويزيدها علم شاطره وذوق جدا وبتسمع الحاله والتعامل معها مريحه جدا,pos,Medical_consult-service-,1,Positive-Feedback
سعر الولادة القيصرية كام بعد اذنكم نرجو الرد,سعر الولادة القيصرية كام بعد اذنكم نرجو الرد,obj,price-,1,Price-Inquiry
دكتوره كويسه جدا,دكتوره كويسه جدا,pos,,0,Positive-Feedback
دكتورة ماهيتاب ربي يحفظك ويبارك فيك من الدكاترة الممتازة اللي تابعت معاها في فترة الحمل,دكتورة ماهيتاب ربي يحفظك ويبارك فيك من الدكاترة الممتازة اللي تابعت معاها في فترة الحمل,pos,Medical_consult-datetime-,1,Positive-Feedback
فعلا دكتورة ممتازة ربنا يبارك فيها,فعلا دكتورة ممتازة ربنا يبارك فيها,pos,,0,Positive-Feedback
ممكن سعر الولاده لو سمحت ,ممكن سعر الولاده لو سمحت,obj,price-,1,Price-Inquiry
واللي شايلها يادكتور وتعبان بعد ماشالها ,واللي شايلها يا دكتور وتعبان بعد ماشالها,obj,,0,General Conversation
عمليه استئصال المرارة كام,عمليه استئصال المرارة كام,obj,Medical_consult-price-,1,Mixed-Inquiries
طب لو مافيش مرارة وتشالت,طب لو ما في مرارة وتشالت,obj,Medical_consult-,1,Medical-Consultation
سهام الجمال الجمال,سهام الجمال,pos,,0,Positive-Feedback
سعر عمليه الناسور الشرجي بكام,سعر عمليه الناسور الشرجي بكام,obj,Medical_consult-price-,1,Mixed-Inquiries
اه والله واللي  شالها يعمل ايه لان بعد ما شيلتها بقيت مريضه كوليسترول,اه والله واللي شالها يعمل ايه لان بعد ما شيلتها بقيت مريضه كوليسترول,obj,,1,General-Inquiry
بعد اذنكم الكشف كام والمواعيد,بعد اذنكم الكشف كام والمواعيد,obj,price-,1,Price-Inquiry
ممكن احجز,ممكن احجز,obj,datetime-,1,Appointments-Inquiry
ما شاء الله بالتوفيق دكتور حازم Hazem Lasheen,ما شاء الله بالتوفيق دكتور حازم hazem lasheen,pos,,0,Positive-Feedback
فتق الحجاب الحاجز يكلف كام,فتق الحجاب الحاجز يكلف كام,obj,Medical_consult-price-,1,Mixed-Inquiries
الكشف بكام والتحاليل بكام,الكشف بكام والتحاليل بكام,obj,price-,1,Price-Inquiry
د اندلسيه اسكندريه,د اندلسيه اسكندريه,obj,place-,1,Location-Inquiry
اين العنوان   في تفتيت الحصى بالليزر,اين العنوان في تفتيت الحصي بالليزر,obj,place-,1,Location-Inquiry
الكشف بكام والتحاليل بكام العنوان فين والمواعيد ايه,الكشف بكام والتحاليل بكام العنوان فين والمواعيد ايه,obj,price-place-,1,Mixed-Inquiries
دكتور هاني توفيق ربنا يحفظك ويبارك فيك,دكتور اني توفيق ربنا يحفظك ويبارك فيك,pos,,0,Positive-Feedback
عنوان اسكندرية من فضلك ,عنوان اسكندرية من فضلك,obj,place-,1,Location-Inquiry
ممكن اعرف دكتور بيكون موجود امتي في اندلسيه المعادي,ممكن اعرف دكتور بيكون موجود امتي في اندلسيه المعادي,obj,place-,1,Location-Inquiry
عندي بنت 9سنين عاوزة عملها ايكو وتخطيط قلب هل عندكم ,عندي بنت 9سنين عاوزة عملها ايكو وتخطيط قلب هل عندكم,obj,Medical_consult-insurance-,1,Mixed-Inquiries
فخر جراحة المخ و الأعصاب ,فخر جراحة المخ و الاعصاب,obj,Medical_consult-,1,Medical-Consultation
ممكن التلفون لو سمحت,ممكن التلفون لو سمحت,obj,,1,General-Inquiry
بتتعاملوا مع جلوبال ميد,بتتعاملوا مع جلوبال ميد,obj,insurance-,1,Insurance-Inquiry
ربنا يحفظك ويبارك فيك,ربنا يحفظك ويبارك فيك,pos,,0,Positive-Feedback
احمد حسن,احمد حسن,obj,,0,General Conversation
هو الدكتور متواجد في فرع اسكندريه,هو الدكتور متواجد في فرع اسكندريه,obj,Booking-place-,1,Mixed-Inquiries
المواعيد وسعر الكشف لو سمحت,المواعيد وسعر الكشف لو سمحت,obj,price-datetime-,1,Mixed-Inquiries
من فضلكم ردوا عليا,من فضلكم ردوا عليا,obj,,0,General Conversation
عايز استفسر عن زراعة الشعر لو سمحتوا للرجال,عايز استفسر عن زراعة الشعر لو سمحتوا للرجال,obj,Medical_consult-insurance-,1,Mixed-Inquiries
فرع القاهرة محتاجين بنات معهد تمريض خاص ,فرع القاهرة محتاجين بنات معهد تمريض خاص,obj,place-,1,Location-Inquiry
لو سمحت ممكن اعرف مواعيد دكاترة النسا والتوليد ف اندلسية الاسكندرية,لو سمحت ممكن اعرف مواعيد دكاترة النسا والتوليد ف اندلسية الاسكندرية,obj,Medical_consult-datetime-place-,1,Mixed-Inquiries
اسعار الولاده في المستشفي بكام,اسعار الولاده في المستشفي بكام,obj,price-,1,Price-Inquiry
ممكن اعرف بكام الكشف وفين العنوان ورقم تليفون لو سمحت,ممكن اعرف بكام الكشف وفين العنوان ورقم تليفون لو سمحت,obj,price-Booking-place-,1,Mixed-Inquiries
ممكن اعرف أسعار الولادة في فرع اسكندرية,ممكن اعرف اسعار الولادة في فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
فعلا كتفي الشمال ورحت للدكتور قالي نقرس وتعبان منه جدا في ظل اني شغال على دراعي والله المستعان,فعلا كتفي الشمال ورحت للدكتور قالي نقرس وتعبان منه جدا في ظل اني شغال علي دراعي والله المستعان,obj,Medical_consult-,1,Medical-Consultation
دكتور انا عملت إشاعة رنين طلع قطع وتر لو سمحت العملية تكلف كام,دكتور انا عملت اشاعة رنين طلع قطع وتر لو سمحت العملية تكلف كام,obj,Medical_consult-price-,1,Mixed-Inquiries
لو سمحتم دكتور بيجاد موجود فين بالظبط,لو سمحتم دكتور بيجاد موجود فين بالظبط,obj,place-,1,Location-Inquiry
مستشفى اندلسية  عنوانها فين,مستشفي اندلسية عنوانها فين,obj,place-,1,Location-Inquiry
دكتور بيجاد هواللي بيتابع حالتي ممتاز,دكتور بيجاد هواللي بيتابع حالتي ممتاز,pos,Medical_consult-,1,Positive-Feedback
Eman Saad Ahmed ابعتي لهم رسالة من ,eman saad ahmed ابعتي لهم رسالة من,obj,,0,General Conversation
زهرة البيلسان,زهرة البيلسان,obj,,0,General Conversation
الله غالب الله غالب,الله غالب,obj,,0,General Conversation
ممكن تفاصيل ضرورى,ممكن تفاصيل ضروري,obj,,1,General-Inquiry
لو سمحت الدكتور في اسكندريه واي فرع وشكرا,لو سمحت الدكتور في اسكندريه واي فرع وشكرا,obj,place-,1,Location-Inquiry
دكتور عندى الم فى الكتف لما اشيل حاجه او اعمل شغل كتير مع العلم انى عندى اختناق عصب بيخلى ايدى تنمل ارجوا الافاده,دكتور عندي الم في الكتف لما اشيل حاجه او اعمل شغل كتير مع العلم اني عندي اختناق عصب بيخلي ايدي تنمل ارجوا الافاده,obj,Medical_consult-,1,Medical-Consultation
"بنتي ١٦ سنه وعندها خلع في الكتف الشمال وكل لم يترد يرجع تاني 
وكنت عاوز اعرف تكاليف عملية تركيب خطافات ورد الكتف في الحاله دي يتكلف كام
مع العلم ان في نسبه ليونه في العظام",بنتي ١٦ سنه وعندها خلع في الكتف الشمال وكل لم يترد يرجع تاني وكنت عاوز اعرف تكاليف عملية تركيب خطافات ورد الكتف في الحاله دي يتكلف كام مع العلم ان في نسبه ليونه في العظام,obj,Medical_consult-price-,1,Mixed-Inquiries
موعد دكتور بيجاد  الساعه كام,موعد دكتور بيجاد الساعه كام,obj,price-datetime-,1,Mixed-Inquiries
دكتور انا عملت إشاعة رنين طلع قطع وتر لو سمحت العملية تكلف كام وايه المطلوب انا تبع المصرية للاتصالات والكشف في سموحة ولا فين وشكرا,دكتور انا عملت اشاعة رنين طلع قطع وتر لو سمحت العملية تكلف كام وايه المطلوب انا تبع المصرية للاتصالات والكشف في سموحة ولا فين وشكرا,obj,Medical_consult-price-insurance-place-,1,Mixed-Inquiries
ايه هي انواع الحبوب والاكلات ماتزودش النقرس,ايه هي انواع الحبوب والاكلات ما تزود النقرس,obj,,1,General-Inquiry
ماهو المقصود بالحبوب الكاملة,ماهو المقصود بالحبوب الكاملة,obj,,0,General Conversation
لو سمحت عايزه اعمل تحاليل تبعتها ازاي عشان اعرف سعرها ,لو سمحت عايزه اعمل تحاليل تبعتها ازاي عشان اعرف سعرها,obj,Medical_consult-price-Booking-,1,Mixed-Inquiries
ايه هيه الحبوب الكامله اللى بتمنع النقرس,ايه هيه الحبوب الكامله اللي بتمنع النقرس,obj,,1,General-Inquiry
عايزه اسأل عن الفريكشنال ليزر ,عايزه اسال عن الفريكشنال ليزر,obj,Booking-,1,Booking-Inquiry
جهاز ايه,جهاز ايه,obj,insurance-,1,Insurance-Inquiry
بكام النبضه ,بكام النبضه,obj,price-,1,Price-Inquiry
النبضه بكام لو سمحت,النبضه بكام لو سمحت,obj,price-,1,Price-Inquiry
بكام لو سمحت فرع الاسكندرية,بكام لو سمحت فرع الاسكندرية,obj,price-place-,1,Mixed-Inquiries
ممكن اعرف نوع الجهاز,ممكن اعرف نوع الجهاز,obj,Medical_consult-,1,Medical-Consultation
عايزة استفسر عن التفاصيل,عايزة استفسر عن التفاصيل,obj,insurance-Booking-,1,Mixed-Inquiries
اسم دكتور للقولون في المستشفى بالاسكندريه,اسم دكتور للقولون في المستشفي بالاسكندريه,obj,Medical_consult-,1,Medical-Consultation
عضلة القلب بتزيد بالعلاج يعني مثال العضله ٣٨ بالعلاج ممكن تتحسن وتوصل لنسبه جيده مش بنفول ممتازه ارجو الافاده,عضلة القلب بتزيد بالعلاج يعني مثال العضله ٣٨ بالعلاج ممكن تتحسن وتوصل لنسبه جيده ما بنفول ممتازه ارجو الافاده,obj,Medical_consult-,1,Medical-Consultation
يقال ان الكبدة من الاطعمة الخطرة علي مرضي القلب هل صحيح ارجو الافادة,يقال ان الكبدة من الاطعمة الخطرة علي مرضي القلب هل صحيح ارجو الافادة,obj,Medical_consult-,1,Medical-Consultation
أخبرني ما هو افضل نظام غذائي صحي,اخبرني ما هو افضل نظام غذائي صحي,obj,insurance-,1,Insurance-Inquiry
ما هي الفحوصات الطبية التي تبين قصور الشرايين أو ضعف عضله القلب والسعر,ما هي الفحوصات الطبية التي تبين قصور الشراين او ضعف عضله القلب والسعر,obj,Medical_consult-price-,1,Mixed-Inquiries
هو مافيش حجز الايام دي,هو ما في حجز الايام دي,obj,datetime-,1,Appointments-Inquiry
نفسي بيروح مني وانا نايمه بتفزع واصحي بقالي يومين رجا طمني,نفسي بيروح مني وانا نايمه بتفزع واصحي بقالي يومين رجا طمني,obj,Medical_consult-,1,Medical-Consultation
دكتور هاني توفيق دكتور محترم وأخلاق راقيه ربنا يوفقك ويبارك فيك,دكتور اني توفيق دكتور محترم واخلاق راقيه ربنا يوفقك ويبارك فيك,pos,,0,Positive-Feedback
عضله القلب عندي ٥٠ في ال١٠٠ اي الحل يادكتور,عضله القلب عندي ٥٠ في ال١٠٠ اي الحل يا دكتور,obj,Medical_consult-,1,Medical-Consultation
ميعاد العيادة يوم ايه,ميعاد العيادة يوم ايه,obj,datetime-,1,Appointments-Inquiry
دكتور أورام الغده النخاميه وتكسير الحديد في الجسم له تأثير علي عضله القلب,دكتور اورام الغده النخاميه وتكسير الحديد في الجسم له تاثير علي عضله القلب,obj,Medical_consult-,1,Medical-Consultation
لو سمحت سبب سماع صوت تزييق عند تنى الركبة ايه سببه وعلاجه ايه ,لو سمحت سبب سماع صوت تزيق عند تني الركبة ايه سببه وعلاجه ايه,obj,Medical_consult-,1,Medical-Consultation
الصوت ,الصوت,obj,,0,General Conversation
انا معنديش اي اعراض او الم فى خشونه فى الركبه فقط يادكتور واشعة الرنين طلعت 67و57ومفيش اي الم فى المفصل والدكتور طلب عمليه,انا معنديش اي اعراض او الم في خشونه في الركبه فقط يا دكتور واشعة الرنين طلعت 67و57ومفيش اي الم في المفصل والدكتور طلب عمليه,obj,Medical_consult-,1,Medical-Consultation
صوت الركبه مع الحركه ووش القدم ,صوت الركبه مع الحركه وش القدم,obj,Medical_consult-,1,Medical-Consultation
اعراض قطع غضروف مفصل الحوض وهل بتاثر علي الركبه,اعراض قطع غضروف مفصل الحوض وهل بتاثر علي الركبه,obj,Medical_consult-,1,Medical-Consultation
صوت التكتكة في الركبة مع المشي العادي دا ممكن يكون ايه السبب ,صوت التكتكة في الركبة مع المشي العادي دا ممكن يكون ايه السبب,obj,Medical_consult-,1,Medical-Consultation
على الصوت لو سمحت يا دكتور,علي الصوت لو سمحت يا دكتور,obj,,1,General-Inquiry
ركبتي بتزيق يا دكتور ومن وقت للتاني بطقطق اي الحل لأنها تعباني نفسيا ,ركبتي بتزيق يا دكتور ومن وقت للتاني بطقطق اي الحل لانها تعباني نفسيا,obj,Medical_consult-datetime-,1,Mixed-Inquiries
ما هو علاج الفتق العضلي بالساق,ما هو علاج الفتق العضلي بالساق,obj,Medical_consult-,1,Medical-Consultation
ممكن العنوان بعد اذنكم,ممكن العنوان بعد اذنكم,obj,place-,1,Location-Inquiry
بعد اذنك يا دكتور انا ولدتي عندها سقوط رحمي و سنها ٧٥ و عمله تغير مفصل هل في علاج و لا لازم عمليه و تكلف كام,بعد اذنك يا دكتور انا ولدتي عندها سقوط رحمي و سنها ٧٥ و عمله تغير مفصل هل في علاج و لا لازم عمليه و تكلف كام,obj,Medical_consult-price-,1,Mixed-Inquiries
لو سمحت انتوا تبع شركة التامين جلوب ميد ارجو الرد,لو سمحت انتوا تبع شركة التامين جلوب ميد ارجو الرد,obj,insurance-,1,Insurance-Inquiry
ممكن اعرف شركات التأمين المتعاقدين معاها,ممكن اعرف شركات التامين المتعاقدين معاها,obj,insurance-,1,Insurance-Inquiry
عملية منظار الرحم كام,عملية منظار الرحم كام,obj,Medical_consult-price-,1,Mixed-Inquiries
معاده فى العياده أمتى,معاده في العياده امتي,obj,,0,General Conversation
المواعيد ايه,المواعيد ايه,obj,datetime-,1,Appointments-Inquiry
موجودة في فرع اسكندريه,موجودة في فرع اسكندريه,obj,place-,1,Location-Inquiry
مساعدة,مساعدة,obj,,0,General Conversation
فرع اسكندريه الجلسه بكام,فرع اسكندريه الجلسه بكام,obj,price-place-,1,Mixed-Inquiries
كام الجلسة,كام الجلسة,obj,price-,1,Price-Inquiry
ممكن اعرف سعر الجلسه,ممكن اعرف سعر الجلسه,obj,price-,1,Price-Inquiry
سعر الجلسه فى اسكندريه,سعر الجلسه في اسكندريه,obj,price-place-,1,Mixed-Inquiries
ممكن اعرف سعر الجلسة,ممكن اعرف سعر الجلسة,obj,price-,1,Price-Inquiry
بكام الجلسه وهل بترجع تاني,بكام الجلسه وهل بترجع تاني,obj,price-,1,Price-Inquiry
ممكن السعر  الاسكندرية,ممكن السعر الاسكندرية,obj,price-place-,1,Mixed-Inquiries
لو عايز اعمل جلسه بحجز مع اي دكتور جلديه و لا في حد معين متخصص,لو عايز اعمل جلسه بحجز مع اي دكتور جلديه و لا في حد معين متخصص,obj,Medical_consult-,1,Medical-Consultation
المكان وسعر الجلسه,المكان وسعر الجلسه,obj,price-place-,1,Mixed-Inquiries
بكام سعر الجلسة,بكام سعر الجلسة,obj,price-,1,Price-Inquiry
بكام الجلسه,بكام الجلسه,obj,price-,1,Price-Inquiry
ممكن اعرف سعر الجلسة ,ممكن اعرف سعر الجلسة,obj,price-,1,Price-Inquiry
كام سعر الجلسه ,كام سعر الجلسه,obj,price-,1,Price-Inquiry
ممكن تفاصيل فرع الاسكندريه,ممكن تفاصيل فرع الاسكندريه,obj,place-,1,Location-Inquiry
بكام الجلسه لو سمحت في فرع اسكندريه,بكام الجلسه لو سمحت في فرع اسكندريه,obj,price-place-,1,Mixed-Inquiries
سعر الجلسه فرع اسكندريه,سعر الجلسه فرع اسكندريه,obj,price-place-,1,Mixed-Inquiries
كام جلسة وتتكلف كام وليها آثار جانبية إسكندرية,كام جلسة وتتكلف كام وليها اثار جانبية اسكندرية,obj,price-place-,1,Mixed-Inquiries
بكام الجلسة وتختفي بعد كام جلسة,بكام الجلسة وتختفي بعد كام جلسة,obj,price-,1,Price-Inquiry
بكام الجلسة في فرع اسكندرية,بكام الجلسة في فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
كام سعر الجلسة,كام سعر الجلسة,obj,price-,1,Price-Inquiry
سعر الجلسة من فضلك ,سعر الجلسة من فضلك,obj,price-place-,1,Mixed-Inquiries
كام سعر الجلسه,كام سعر الجلسه,obj,price-,1,Price-Inquiry
التكلفه ,التكلفه,obj,price-,1,Price-Inquiry
كام سعر الكشف والجلسة,كام سعر الكشف والجلسة,obj,price-,1,Price-Inquiry
عندكم دكتوره للكشف وعمل المطلوب ولا كم الطقم دكاتره,عندكم دكتوره للكشف وعمل المطلوب ولا كم الطقم دكاتره,obj,Medical_consult-price-insurance-,1,Mixed-Inquiries
الجلسه بكام لوسمحتم,الجلسه بكام لوسمحتم,obj,price-,1,Price-Inquiry
ازاله الشعيرات الدمويه الجلسه بكام,ازاله الشعيرات الدمويه الجلسه بكام,obj,price-,1,Price-Inquiry
ممكن التفاصيل,ممكن التفاصيل,obj,Booking-,1,Booking-Inquiry
ممكن اعرف بكام فرع اسكندريه,ممكن اعرف بكام فرع اسكندريه,obj,price-place-,1,Mixed-Inquiries
كام الجلسه,كام الجلسه,obj,price-,1,Price-Inquiry
ازاي,ازاي,obj,,1,General-Inquiry
ممكن اعرف سعر,ممكن اعرف سعر,obj,price-,1,Price-Inquiry
فى إزالة شعر بالليزر وممكن اعرف البلص بكام واسم الجهاز,في ازالة شعر بالليزر وممكن اعرف البلص بكام واسم الجهاز,obj,Medical_consult-price-,1,Mixed-Inquiries
"لو دوالي تخينه وكلاكيع تنفع ليها جلسات والرجل كلها 
والجلسه تتكلف كام وححتاج كام جلسه غرع اسكندريه",لو دوالي تخينه وكلاكيع تنفع ليها جلسات والرجل كلها والجلسه تتكلف كام وححتاج كام جلسه غرع اسكندريه,obj,Medical_consult-price-place-,1,Mixed-Inquiries
كام يعر الجلسه,كام يعر الجلسه,obj,price-,1,Price-Inquiry
كام جلسه وسعر الجلسه كام,كام جلسه وسعر الجلسه كام,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام جلسه ازاله الشعيرات الدموية,بكام جلسه ازاله الشعيرات الدموية,obj,Medical_consult-price-,1,Mixed-Inquiries
دى اللى بيتم حقن مادة تقتل خلايا الشعيرات الدموية و لا حاجة تانية ,دي اللي بيتم حقن مادة تقتل خلايا الشعيرات الدموية و لا حاجة تانية,obj,Medical_consult-,1,Medical-Consultation
بترجع تانى ولا لأ وسعر الجلسة كام والمريض بيحتاج كام جلسة,بترجع تاني ولا لا وسعر الجلسة كام والمريض بيحتاج كام جلسة,obj,price-,1,Price-Inquiry
بوتكس  ولا ايه  وهل دائمه ولا مؤقته,بوتكس ولا ايه وهل دائمه ولا مؤقته,obj,,1,General-Inquiry
بكام جلسه الشعيرات الدموية,بكام جلسه الشعيرات الدموية,obj,Medical_consult-price-,1,Mixed-Inquiries
سعر الجلسة الاسكندرية ,سعر الجلسة الاسكندرية,obj,price-place-,1,Mixed-Inquiries
سعر جلسه,سعر جلسه,obj,Medical_consult-price-,1,Mixed-Inquiries
ممكن تفاصيل وسعر الجلسه  فرع اسكندريه,ممكن تفاصيل وسعر الجلسه فرع اسكندريه,obj,price-place-,1,Mixed-Inquiries
سعر الجلسه كام انا في اسكندريه,سعر الجلسه كام انا في اسكندريه,obj,price-place-,1,Mixed-Inquiries
 سعر الجلسهاسكندريه,سعر الجلسهاسكندريه,obj,price-,1,Price-Inquiry
بكام الجلسه في الاسكندريه وبيبقي كام جلسه,بكام الجلسه في الاسكندريه وبيبقي كام جلسه,obj,Medical_consult-price-place-,1,Mixed-Inquiries
سعر الجلسة ولو في دوالي بسيطة,سعر الجلسة ولو في دوالي بسيطة,obj,Medical_consult-price-,1,Mixed-Inquiries
سعر الجلسه كام ,سعر الجلسه كام,obj,price-,1,Price-Inquiry
بكام الجلسه انا فى الاسكندريه وممكن تفاصيل,بكام الجلسه انا في الاسكندريه وممكن تفاصيل,obj,price-place-,1,Mixed-Inquiries
"بكام 
فرع اسكندرية",بكام فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
تنفع للدوالي,تنفع للدوالي,obj,,0,General Conversation
كام الجلسة فى فرع اسكندرية,كام الجلسة في فرع اسكندرية,obj,price-place-,1,Mixed-Inquiries
مستشفى الأندلسية اللي فين,مستشفي الاندلسية اللي فين,obj,place-,1,Location-Inquiry
بكام سعر الجلسه,بكام سعر الجلسه,obj,price-,1,Price-Inquiry
المكان فين بالظبط ف اسكندرية ورقم الفون,المكان فين بالظبط ف اسكندرية ورقم الفون,obj,place-,1,Location-Inquiry
طيب معلش عايزة التفاصيل,طيب معلش عايزة التفاصيل,obj,Booking-,1,Booking-Inquiry
بكام الجلسه من فضلك,بكام الجلسه من فضلك,obj,price-place-,1,Mixed-Inquiries
ممكن اعرف اسعار الجلسه فرع اسكندريه,ممكن اعرف اسعار الجلسه فرع اسكندريه,obj,price-place-,1,Mixed-Inquiries
فين المكان  وبكام الجلسة,فين المكان وبكام الجلسة,obj,price-place-,1,Mixed-Inquiries
الجسم كله كام جلسه والتكلفه كام ,الجسم كله كام جلسه والتكلفه كام,obj,Medical_consult-price-,1,Mixed-Inquiries
من فضلك بيعالج الدوالى كمان ,من فضلك بيعالج الدوالي كمان,obj,Medical_consult-place-,1,Mixed-Inquiries
سعر الجلسه بكام ونجتاج كام جلسه,سعر الجلسه بكام ونجتاج كام جلسه,obj,Medical_consult-price-,1,Mixed-Inquiries
تكلفة الجلسه لو سمحتم,تكلفة الجلسه لو سمحتم,obj,price-,1,Price-Inquiry
بكام سعر الجلسه  من الاسكندريه,بكام سعر الجلسه من الاسكندريه,obj,price-place-,1,Mixed-Inquiries
ممكن اعرف سعر الجلسه الاسكندريه,ممكن اعرف سعر الجلسه الاسكندريه,obj,price-place-,1,Mixed-Inquiries
بتحتاج كام جلسه وسعر الجلسه كام,بتحتاج كام جلسه وسعر الجلسه كام,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام الجلسة,بكام الجلسة,obj,price-,1,Price-Inquiry
سعر الجلسه من فضلك,سعر الجلسه من فضلك,obj,price-place-,1,Mixed-Inquiries
