message,predicted,tags,inquiry,ALL_Categories,cleaned
متوسط تكلفه المنظار لوسمحت,obj,price-,1,Price-Inquiry,متوسط تكلفه المنظار لوسمحت
ممكن مواعيد دكتور أسامة محمود في الاسكندرية و الفرع اللي بيكون متواجد فيه ,obj,datetime-place-PriceBooking-place-,1,Mixed-Inquiries,ممكن مواعيد دكتور اسامة محمود في الاسكندرية و الفرع اللي بيكون متواجد فيه
اىن مكان المستشفى,obj,place-place-,1,Mixed-Inquiries,اين مكان المستشفي
كام تكلفة منظار الكلى لو سمحت,obj,price-Medical_consult-,1,Mixed-Inquiries,كام تكلفة منظار الكلي لو سمحت
عندكم عيادات تحميل للوجه زى نفخ الشفايف وحقن الفيلر والبوتوكس,obj,support-,1,Insurance-Inquiry,عندكم عيادات تحميل للوجه زي نفخ الشفايف وحقن الفيلر والبوتوكس
بحاول الاتصال باندلسية المعادي التليفون متعذر ممكن اعرف السبب,obj,datetime-PriceBooking-place-,1,Mixed-Inquiries,بحاول الاتصال باندلسية المعادي التليفون متعذر ممكن اعرف السبب
لو سمحت اندلسيه انطونيادس فيها طوارئ ,obj,place-,1,Place-Inquiry,لو سمحت اندلسيه انطونيادس فيها طوارئ
هي الدكتور موجوده في اسكندريه ولا القاهرة,obj,place-support-place-,1,Mixed-Inquiries,هي الدكتور موجوده في اسكندريه ولا القاهرة
العملية ممكن تكلف اد ايه,obj,price-,1,Price-Inquiry,العملية ممكن تكلف اد ايه
انا دائما عندى شرخ ايه ممكن يكون علاجو,obj,Medical_consult-,1,Medical-Consultation,انا دائما عندي شرخ ايه ممكن يكون علاجو
 مبادرة جميله من كيان محترم وفققكم الله    ,pos,,0,Positive-Feedback,مبادرة جميله من كيان محترم وفققكم الله
ربنا يجزيكم خير,pos,,0,Positive-Feedback,ربنا يجزيكم خير
جزاكم الله خيرا,pos,,0,Positive-Feedback,جزاكم الله خيرا
"فكره حلوه جدا
انتو حقيقي من اجمل الحاجات ف مصر ربنا يكرمكم",obj,support-place-,1,Mixed-Inquiries,فكره حلوه جدا انتو حقيقي من اجمل الحاجات ف مصر ربنا يكرمكم
Hoda Bakr عصفير الجنه Tota Tota Salem ,obj,,0,General Conversation,hoda bakr عصفير الجنه tota salem
مكانها فين,obj,place-place-,1,Mixed-Inquiries,مكانها فين
ممكن اعرف فترة علاج الجرثومة قد ايه,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,ممكن اعرف فترة علاج الجرثومة قد ايه
لو سمحت عايزة اعرف عملية كى الغدة العرقية بالمنظار بتتعمل فى المستشفى والا ايه,obj,Medical_consult-,1,Medical-Consultation,لو سمحت عايزة اعرف عملية كي الغدة العرقية بالمنظار بتتعمل في المستشفي والا ايه
ممكن اعرف مواعيد د مصطفى العسكرى مواعيده امتى ف فرع انطونيادس ضرورى,obj,datetime-place-PriceBooking-place-,1,Mixed-Inquiries,ممكن اعرف مواعيد د مصطفي العسكري مواعيده امتي ف فرع انطونيادس ضروري
عاوز احجز دكتور هيثم بدران,obj,PriceBooking-,1,Booking-Inquiry,عاوز احجز دكتور يثم بدران
انا معايا كارنيه ميت لايف شركه اليكو ينفع اولد فى المستشفى,obj,support-,1,Insurance-Inquiry,انا معايا كارنيه ميت لايف شركه اليكو ينفع اولد في المستشفي
المستشفى متعاقدة مع شركة تأمين اسمها GRAND EGYPT ,obj,insurance-support-,1,Mixed-Inquiries,المستشفي متعاقدة مع شركة تامين اسمها grand egypt
المستشفي متعاقده مع ايجي ميد,obj,support-,1,Insurance-Inquiry,المستشفي متعاقده مع ايجي ميد
الخصم ٣٠ بعد الولاده للام ولا للبيبي ,obj,price-,1,Price-Inquiry,الخصم ٣٠ بعد الولاده للام ولا للبيبي
يوجد عمل هولطر ارجو الرد للاهميه,obj,,1,General-Inquiry,يوجد عمل هولطر ارجو الرد للاهميه
لو سمحت يا دكتور يوجد جهاز  هولطر ارجو الرد للاهميه,obj,support-,1,Insurance-Inquiry,لو سمحت يا دكتور يوجد جهاز هولطر ارجو الرد للاهميه
الالم فى منطقة القلب من الامام والخلف الم مستمر,obj,Medical_consult-,1,Medical-Consultation,الالم في منطقة القلب من الامام والخلف الم مستمر
اول مررررررة اشووووف دكتور يتكلم بطريقة الاطمئنان والله ربنا يطمن قلبك يااارب دايما,pos,,0,Positive-Feedback,اول مرة اشوف دكتور يتكلم بطريقة الاطمئنان والله ربنا يطمن قلبك يا رب دايما
دكتور ابني بيشتكي من ألم في الصدر وضربت القلب سريعه وضعيفه احيانا وعملت رسم قلب تمام اعمل ايه,obj,Medical_consult-,1,Medical-Consultation,دكتور ابني بيشتكي من الم في الصدر وضربت القلب سريعه وضعيفه احيانا وعملت رسم قلب تمام اعمل ايه
ماشاءالله عليه ,obj,,0,General Conversation,ما شاء الله عليه
سعر الكشف كام من فضلك,obj,price-place-,1,Mixed-Inquiries,سعر الكشف كام من فضلك
لوسمحتو عايزه اعرف التقرير ده في ايه بالله عليكم ده بتاع والدي وانا فلقانه عليه ارجو الرد ,obj,PriceBooking-,1,Booking-Inquiry,لوسمحتو عايزه اعرف التقرير ده في ايه بالله عليكم ده بتاع والدي وانا فلقانه عليه ارجو الرد
انا عملت رسم قلب وطلع ان العضلة كويسة الدكتور مقالش اكتر من كدة وطلع عندى كولسترول  وباخد  دواء للكولسترول وبعرق جدا وبنهج من اقل مجهود اية السبب  ارجو الرد,obj,Medical_consult-,1,Medical-Consultation,انا عملت رسم قلب وطلع ان العضلة كويسة الدكتور مقالش اكتر من كدة وطلع عندي كولسترول وباخد دواء للكولسترول وبعرق جدا وبنهج من اقل مجهود اية السبب ارجو الرد
رقم تلفون حضرتك لو سمحت,obj,PriceBooking-,1,Booking-Inquiry,رقم تلفون حضرتك لو سمحت
دكتور ممتاز ربنا يحفظه,pos,,0,Positive-Feedback,دكتور ممتاز ربنا يحفظه
بجد دكتور محترم جدا  ربنا يكرمه ويعينه,pos,,0,Positive-Feedback,بجد دكتور محترم جدا ربنا يكرمه ويعينه
ربنا يبارك لكم,pos,,0,Positive-Feedback,ربنا يبارك لكم
الدكتور سامح بجد شاطر جدا ربنا يباركله,pos,,1,Positive-Feedback,الدكتور سامح بجد شاطر جدا ربنا يباركله
فعلا كشف مجاني,obj,price-,1,Price-Inquiry,فعلا كشف مجاني
هل يوجد طبيب نفس التخصص في اسكندريه,obj,support-place-,1,Mixed-Inquiries,هل يوجد طبيب نفس التخصص في اسكندريه
السلام عليكم دكتور اتمني ان تجد لي حل عندي عشا ليلي وضعف في الرؤية ليلا حيث اني ممكن تكعبل في شي وانا ماشي في الشارع ليلا حتي وانا لابس النضاره وسبق لي اني عملت ليزك من اربع سنوات واشعر ان نضري بيضعف وشكرا,obj,Medical_consult-,1,Medical-Consultation,السلام عليكم دكتور اتمني ان تجد لي حل عندي عشا ليلي وضعف في الرؤية ليلا حيث اني ممكن تكعبل في شي وانا ماشي في الشارع ليلا حتي وانا لابس النضاره وسبق لي اني عملت ليزك من اربع سنوات واشعر ان نضري بيضعف وشكرا
ممكن اعرف اسعار عمليه المياه البيضاء,obj,price-,1,Price-Inquiry,ممكن اعرف اسعار عمليه المياه البيضاء
يادكتور حطيت قطره عدا عليها 31 يوم بالظبط هل توثر علي النظر,obj,support-,1,Insurance-Inquiry,يا دكتور حطيت قطره عدا عليها 31 يوم بالظبط هل توثر علي النظر
" مليون مبروك يا باشا
ربنا ينفع بيك
Mohammad Refaat",obj,,0,General Conversation,مليون مبروك يا باشا ربنا ينفع بيك mohammad refaat
"اطفال بس ولا كبار كمان 
المواعيد",obj,datetime-,1,Appointments-Inquiry,اطفال بس ولا كبار كمان المواعيد
ممكن اعرف الكاستم ليزك لتصحيح الابصار تكلفته كام,obj,price-,1,Price-Inquiry,ممكن اعرف الكاستم ليزك لتصحيح الابصار تكلفته كام
لوسمحتو عايزه دكتور يفهمي ايه اللي في التقرير ده ,obj,PriceBooking-,1,Booking-Inquiry,لوسمحتو عايزه دكتور يفهمي ايه اللي في التقرير ده
أشكر حضرتك على الإجابة ب النسبة ل العرق الغزير  بس فعلا أنا عندي ضغط عالي من حوالي ٢٠ سنة و وصلت أدويتي ل ٥ أنواع  ريڤاروسپاير من ٣ سنوات ,obj,Medical_consult-,1,Medical-Consultation,اشكر حضرتك علي الاجابة ب النسبة ل العرق الغزير بس فعلا انا عندي ضغط عالي من حوالي ٢٠ سنة و وصلت ادويتي ل ٥ انواع ريڤاروسپاير من ٣ سنوات
 ايه سبب زيادة ضربات القلب مع اقل مجهود,obj,Medical_consult-,1,Medical-Consultation,ايه سبب زيادة ضربات القلب مع اقل مجهود
باخد باسط عضلات عشان تشنج عضلات بيعملى سرعة بضربات القلب كتير اوى وغيرته برده بيسرع ضربات القلب دا عادى حضرتك,obj,Medical_consult-,1,Medical-Consultation,باخد باسط عضلات عشان تشنج عضلات بيعملي سرعة بضربات القلب كتير اوي وغيرته برده بيسرع ضربات القلب دا عادي حضرتك
والدتي شايله الغدة وعندها الضغط والدكتور قال لماما عندك دقه نقصه بس علي طول بتحس بنغزة قويه في الناحية الشمال والكتف وساعتها بتكون مش قدرة تتكلم وتتنفس ,obj,datetime-Medical_consult-,1,Mixed-Inquiries,والدتي شايله الغدة وعندها الضغط والدكتور قال لماما عندك دقه نقصه بس علي طول بتحس بنغزة قويه في الناحية الشمال والكتف وساعتها بتكون ما قدرة تتكلم وتتنفس
"يادكتور هى عملت قسطرة وحالتها صعب يتعملها دعامة ولازم قلب مفتوح 
",obj,Medical_consult-,1,Medical-Consultation,يا دكتور هي عملت قسطرة وحالتها صعب يتعملها دعامة ولازم قلب مفتوح
متمسحش اللايف يادكتور ,pos,,0,Positive-Feedback,متمسحش اللايف يا دكتور
والدتي عندها الشرايين ضيقة جدا ومسدودة بس عضلة القلب كويسة وهى تعبانة جدا تعمل ايه,obj,Medical_consult-,1,Medical-Consultation,والدتي عندها الشراين ضيقة جدا ومسدودة بس عضلة القلب كويسة وهي تعبانة جدا تعمل ايه
وعندى شد ف عضلات الرقبة جاد اوى ,obj,Medical_consult-,1,Medical-Consultation,وعندي شد ف عضلات الرقبة جاد اوي
مفيش رقم فون يادكتور,obj,PriceBooking-,1,Booking-Inquiry,مفيش رقم فون يا دكتور
 حضرتك كاتبلي للضغط العالي كونكور ٥ والضغط مش بينزل علي طول عن ١٤٠ علي ١٠٠ علي طول وضربات قلب سريعه ,obj,,0,General Conversation,حضرتك كاتبلي للضغط العالي كونكور ٥ والضغط ما بينزل علي طول عن ١٤٠ علي ١٠٠ علي طول وضربات قلب سريعه
عامل قسطرة ودعامة فى شهر ٢ ,obj,,0,General Conversation,عامل قسطرة ودعامة في شهر ٢
السلام عليكم أنا ولدى عندوا تضخم فى القلب والكبد ,obj,Medical_consult-,1,Medical-Consultation,السلام عليكم انا ولدي عندوا تضخم في القلب والكبد
ممكن اعرف اسعار الكشف بعيادات الباطنه والجهاز الهضمى,obj,price-support-,1,Mixed-Inquiries,ممكن اعرف اسعار الكشف بعيادات الباطنه والجهاز الهضمي
دكتور انا بعانى صداع كل يوم وبشتكى وجع فى الظهر,obj,Medical_consult-,1,Medical-Consultation,دكتور انا بعاني صداع كل يوم وبشتكي وجع في الظهر
عندي ٣٩ سنه وبتجيلي شكه في صدري الشمال,obj,Medical_consult-,1,Medical-Consultation,عندي ٣٩ سنه وبتجيلي شكه في صدري الشمال
هل العرق الغزير المستجد من بعد كورونا سببه مشكلة ف القلب  فيه تضخم في عضلة القلب  والكفاءة ٥٠,obj,Medical_consult-support-,1,Mixed-Inquiries,هل العرق الغزير المستجد من بعد كورونا سببه مشكلة ف القلب فيه تضخم في عضلة القلب والكفاءة ٥٠
دكتور العنوان بتجيلي ازمه قلب باستمرار وباخد دوا موسع لشرين ممكن عنوان حضرتك ,obj,place-Medical_consult-place-,1,Mixed-Inquiries,دكتور العنوان بتجيلي ازمه قلب باستمرار وباخد دوا موسع لشرين ممكن عنوان حضرتك
"منور الدنيا يا دكتور 
ربنا يجعله في ميزان حسناتك يارب العالمين ",pos,,1,Positive-Feedback,منور الدنيا يا دكتور ربنا يجعله في ميزان حسناتك يا رب العالمين
طب ممكن العنوان لو سمحت ,obj,place-place-,1,Mixed-Inquiries,طب ممكن العنوان لو سمحت
طيب حضرتك انا عندي نفس المشكله للي هو مش بقدر اعمل حاجه وضربات قلبي سريعه  وباخد نفسي بالعافيه وبعمل رياضه وكمان بمشي كتير ووزني مش كبير وزني ٧٥وطولي ١٦٥ وعملت كل التحليل للي قولت عليها ورسم قلب  ومفيش اي حاجه مش عارفه اعمل ايه تاني,obj,Medical_consult-,1,Medical-Consultation,طيب حضرتك انا عندي نفس المشكله للي هو ما بقدر اعمل حاجه وضربات قلبي سريعه وباخد نفسي بالعافيه وبعمل رياضه وكمان بمشي كتير وزني ما كبير وزني ٧٥وطولي ١٦٥ وعملت كل التحليل للي قولت عليها ورسم قلب ومفيش اي حاجه ما عارفه اعمل ايه تاني
انا عندي ضغط غير مستقر وباهد علاج اكسفروج عيار خمسة بس احيانا بينزل ضغط ومابعرف اتصرف ازاي,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,انا عندي ضغط غير مستقر وباهد علاج اكسفروج عيار خمسة بس احيانا بينزل ضغط ومابعرف اتصرف ازاي
التواصل مع حضرتك ازااي,obj,PriceBooking-,1,Booking-Inquiry,التواصل مع حضرتك ازاي
هل التدخل لعلاج الشريان التاجية عبر الجلد اجراء آمن ,obj,support-,1,Insurance-Inquiry,هل التدخل لعلاج الشريان التاجية عبر الجلد اجراء امن
سؤال تاني بعد اذنك  يادكتور قبل عمل القسطرة الشريان التاجي بنوقف اسبرين ,obj,,0,General Conversation,سؤال تاني بعد اذنك يا دكتور قبل عمل القسطرة الشريان التاجي بنوقف اسبرين
غضاريف بالرقبة يادكتور,obj,,0,General Conversation,غضاريف بالرقبة يا دكتور
ممكن سوال ,obj,,1,General-Inquiry,ممكن سوال
انا مريضة ضغط و دايما ضربات القلب سريعه,obj,Medical_consult-,1,Medical-Consultation,انا مريضة ضغط و دايما ضربات القلب سريعه
هل القسطرة التشخيصية آمنة ,obj,support-,1,Insurance-Inquiry,هل القسطرة التشخيصية امنة
"دكتور بابا مريض ضغط فقط  
وبيجي وجع في الذراع الأيمن والصدر  بس بكون وجع متعب اووي   وربع ساعه بيكون كويس بس الوجع ده علي طول بس فترات",obj,datetime-Medical_consult-,1,Mixed-Inquiries,دكتور بابا مريض ضغط فقط وبيجي وجع في الذراع الايمن والصدر بس بكون وجع متعب اوي وربع ساعه بيكون كويس بس الوجع ده علي طول بس فترات
دكتور ممتاز ربنا يبارك فيك,pos,,0,Positive-Feedback,دكتور ممتاز ربنا يبارك فيك
اه عملت فحوصات والأشعة طلعت بيها ,obj,,0,General Conversation,اه عملت فحوصات والاشعة طلعت بيها
هو بالفعل معه ارتجاع وكنت اخدت علاج ووقفت,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,هو بالفعل معه ارتجاع وكنت اخدت علاج وقفت
هى عملت دعامة وقالولها لازم قلب مفتوح,obj,Medical_consult-,1,Medical-Consultation,هي عملت دعامة وقالولها لازم قلب مفتوح
ابطل البيرليك والاسبرين امتى ,obj,datetime-,1,Appointments-Inquiry,ابطل البيرليك والاسبرين امتي
متشكره جدا لحضرتك ,pos,,0,Positive-Feedback,متشكره جدا لحضرتك
لشكرا للافادة حضرتك,obj,,0,General Conversation,لشكرا للافادة حضرتك
ماهو رباعي فالوت,obj,,0,General Conversation,ماهو رباعي فالوت
الاستاذ الدكتور محمد عاطف منور جدا ,pos,,0,Positive-Feedback,الاستاذ الدكتور محمد عاطف منور جدا
دكتور ممتاز بارك الله فيك ,pos,,0,Positive-Feedback,دكتور ممتاز بارك الله فيك
جزاك الله خير ,pos,,0,Positive-Feedback,جزاك الله خير
دكتور بارك الله فيك وجزاك الله خيرا,pos,,0,Positive-Feedback,دكتور بارك الله فيك وجزاك الله خيرا
"هل ارتفاع الدهون الثلاثية بترفع الضغط وتعمل ضربات قلب سريعه
",obj,Medical_consult-support-,1,Mixed-Inquiries,هل ارتفاع الدهون الثلاثية بترفع الضغط وتعمل ضربات قلب سريعه
دكتور انا بعاني من ضغط عالي يوم ١٤٠٩٠و يوم تاني يوصل ٩٠٦٠ و انا عندي٢٤ سنة ,obj,Medical_consult-,1,Medical-Consultation,دكتور انا بعاني من ضغط عالي يوم ١٤٠٩٠و يوم تاني يوصل ٩٠٦٠ و انا عندي٢٤ سنة
هل يمكن علاج الثقوب بالقسطره ,obj,place-support-PriceBooking-,1,Mixed-Inquiries,هل يمكن علاج الثقوب بالقسطره
مسا الخير يا دكتور انا عندي دايما نغزه في ناحيه القلب وكان الدكتور قال إن عندي ارتخاء فهل ده ممكن يكون السبب,obj,Medical_consult-,1,Medical-Consultation,مسا الخير يا دكتور انا عندي دايما نغزه في ناحيه القلب وكان الدكتور قال ان عندي ارتخاء فهل ده ممكن يكون السبب
مساء الانوار ,obj,,0,General Conversation,مساء الانوار
امتى اقدر ابطل البيرليك ,obj,datetime-,1,Appointments-Inquiry,امتي اقدر ابطل البيرليك
نجم النجوم,obj,,0,General Conversation,نجم النجوم
وبعمل دايت كمان ,obj,,0,General Conversation,وبعمل دايت كمان
دكتور زوجي 35 سنه بيشتكي من تنميل بالراس,obj,,0,General Conversation,دكتور زوجي 35 سنه بيشتكي من تنميل بالراس
واحيانا تنميل بالوجه,obj,,0,General Conversation,واحيانا تنميل بالوجه
المصطفى المختار,obj,,0,General Conversation,المصطفي المختار
عندي نهجان وضيق في التنفس من أقل مجهود وخصوصا طلوع سلم ليس عندي أمراض سوي كولسترول مرتفع ودهون علي الكبد الحل ايه,obj,Medical_consult-,1,Medical-Consultation,عندي نهجان وضيق في التنفس من اقل مجهود وخصوصا طلوع سلم ليس عندي امراض سوي كولسترول مرتفع ودهون علي الكبد الحل ايه
انا بيحصلي نغزة جامدة في صدرى الشمال بتحصل مرة واحدة وبتكرر كل يوم وضيق في النفس وزيادة ضربات قلبي عند عمل اي مجهود,obj,Medical_consult-,1,Medical-Consultation,انا بيحصلي نغزة جامدة في صدري الشمال بتحصل مرة واحدة وبتكر كل يوم وضيق في النفس وزيادة ضربات قلبي عند عمل اي مجهود
عندي سخونة  جامدة جدا فى ظهرى تحت الكتف الايسر وقد تصل الى الكتف الايسر والزراع فى بعض الأوقات وليس  كل الوقت وخاصة بعد الأكل والشرب والنوم عند الفجر,obj,datetime-Medical_consult-,1,Mixed-Inquiries,عندي سخونة جامدة جدا في ظهري تحت الكتف الايسر وقد تصل الي الكتف الايسر والزراع في بعض الاوقات وليس كل الوقت وخاصة بعد الاكل والشرب والنوم عند الفجر
انا عندي نغزه جامده اوي في قلبي لو اتكلمت كتير قلبي يوجعني لو ضحكت كتير قلبي يوجعني وسعات زراعي الشمال يوجعني جدا وشكرا لحضرتك,obj,Medical_consult-,1,Medical-Consultation,انا عندي نغزه جامده اوي في قلبي لو اتكلمت كتير قلبي يوجعني لو ضحكت كتير قلبي يوجعني وسعات زراعي الشمال يوجعني جدا وشكرا لحضرتك
عندي ضغط عالي ترتخاء في الصمام المترالي وبقالي 3 شهور رجلي بتورم وجسمي روحت لكذا دكتور قالي القلب بيعمل مايه وان ورم رجلي ده ماية من القلب ومن غير مايعملو ايكو بس اما اخدت برشام اكساميد يومين بالظبط والورم راح بس لحد دلوقتي نغز جامد في قلبي وتقل ونهجان من اقل مجهود ورجعت رجلي تورم تاني ﻻن اخر دكتور وقفلي كل العﻻج وكتبلي كونكور 5 بﻻس ممكن ايه المفروض اعمله او اخده  ,obj,place-Medical_consult-,1,Mixed-Inquiries,عندي ضغط عالي ترتخاء في الصمام المترالي وبقالي 3 شهور رجلي بتورم وجسمي روحت لكذا دكتور قالي القلب بيعمل مايه وان ورم رجلي ده ماية من القلب ومن غير مايعملو ايكو بس اما اخدت برشام اكساميد يومين بالظبط والورم راح بس لحد دلوقتي نغز جامد في قلبي وتقل ونهجان من اقل مجهود ورجعت رجلي تورم تاني ﻻن اخر دكتور وقفلي كل العﻻج وكتبلي كونكور 5 بﻻس ممكن ايه المفروض اعمله او اخده
الحجز عند الدكتور بكام وبرنامجالكشف بيشمل ايه,obj,price-,1,Price-Inquiry,الحجز عند الدكتور بكام وبرنامجالكشف بيشمل ايه
عاوز احجز انف واذن وحنجرة,obj,PriceBooking-,1,Booking-Inquiry,عاوز احجز انف واذن وحنجرة
عندى ضغط منذ ٢٤ عام علاجى اتغير مرة واحدة هل من ضرر على القلب وماذا افعل لكى احافظ على سلامة قلبى لمدة أطول وعمرى الان ستون عاما,obj,Medical_consult-support-,1,Mixed-Inquiries,عندي ضغط منذ ٢٤ عام علاجي اتغير مرة واحدة هل من ضر علي القلب وماذا افعل لكي احافظ علي سلامة قلبي لمدة اطول وعمري الان ستون عاما
كل الأحاسيس دي موجوده عندي وعملت ايكو وقال مفيش حاجه توتر,obj,place-Medical_consult-support-,1,Mixed-Inquiries,كل الاحاسيس دي موجوده عندي وعملت ايكو وقال مفيش حاجه توتر
لو سمحت الكشف كام,obj,price-,1,Price-Inquiry,لو سمحت الكشف كام
"مواعيد حضرتك 
سعر الكشف",obj,price-datetime-,1,Mixed-Inquiries,مواعيد حضرتك سعر الكشف
مواعيد حضرتك امتي,obj,datetime-PriceBooking-,1,Mixed-Inquiries,مواعيد حضرتك امتي
المواعيد بعد ازنك ايه,obj,datetime-,1,Appointments-Inquiry,المواعيد بعد ازنك ايه
ممكن اعرف سعر النبضة,obj,price-,1,Price-Inquiry,ممكن اعرف سعر النبضة
المواعيد الجلدية امتي,obj,datetime-,1,Appointments-Inquiry,المواعيد الجلدية امتي
بكام النبضه,obj,price-,1,Price-Inquiry,بكام النبضه
فيه جلسات ليزر لتفتح البشره وازاله النمش والبقع الداكنه,obj,,0,General Conversation,فيه جلسات ليزر لتفتح البشره وازاله النمش والبقع الداكنه
ممكن اعرف تفاصيل التكلفة ف الاسكندرية,obj,price-place-,1,Mixed-Inquiries,ممكن اعرف تفاصيل التكلفة ف الاسكندرية
لو سمحت بكام,obj,price-,1,Price-Inquiry,لو سمحت بكام
بكام التقشير,obj,price-,1,Price-Inquiry,بكام التقشير
كام السعر لو سمحت,obj,price-,1,Price-Inquiry,كام السعر لو سمحت
ممكن أعرف بكام  فى المعادى,obj,price-datetime-place-,1,Mixed-Inquiries,ممكن اعرف بكام في المعادي
ممكن التواصل ع الخاص,obj,PriceBooking-,1,Booking-Inquiry,ممكن التواصل ع الخاص
بكام التقشير الطبيعي,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام التقشير الطبيعي
ماهو التقشير الطبيعى,obj,Medical_consult-,1,Medical-Consultation,ماهو التقشير الطبيعي
بكام لو سمحت,obj,price-,1,Price-Inquiry,بكام لو سمحت
ممكن اعرف السعر لو سمحت,obj,price-,1,Price-Inquiry,ممكن اعرف السعر لو سمحت
بكام فرع الاسكندرية ,obj,price-place-place-,1,Mixed-Inquiries,بكام فرع الاسكندرية
منور يا د عمرو مبارك ان شاء الله,obj,,0,General Conversation,منور يا د عمرو مبارك ان شاء الله
من الأطباء المميزين جدا جمع العلم و المهارة و الأخلاق السامية تمنياتي لك بالتوفيق ,pos,,1,Positive-Feedback,من الاطباء المميزين جدا جمع العلم و المهارة و الاخلاق السامية تمنياتي لك بالتوفيق
منور أندلسية و منور الدنيا كلها كالعادة ,pos,,0,Positive-Feedback,منور اندلسية و منور الدنيا كلها كالعادة
من اشطر اطباء جراحه العظام و اخلاق و ذوق بالتوفيق يا دكتور عمرو ,pos,Medical_consult-,1,Positive-Feedback,من اشطر اطباء جراحه العظام و اخلاق و ذوق بالتوفيق يا دكتور عمرو
"أشطر دكتور عظام في مصر كلها 
ما شاء الله",pos,place-,1,Positive-Feedback,اشطر دكتور عظام في مصر كلها ما شاء الله
منور يا اجدع دكتور عظام منور اسكندريه,obj,place-,1,Place-Inquiry,منور يا اجدع دكتور عظام منور اسكندريه
الدكتور ده ممتاز جدا جدا,pos,,0,Positive-Feedback,الدكتور ده ممتاز جدا
"الله عليك يا عموري منور الدنيا يا زعيم
بسم الله ماشاء الله",pos,,0,Positive-Feedback,الله عليك يا عموري منور الدنيا يا زعيم بسم الله ماشاء الله
مواعيده,obj,datetime-,1,Appointments-Inquiry,مواعيده
كام الكشف,obj,price-,1,Price-Inquiry,كام الكشف
وعاوزة اعرف مفيش خبير من برة مصر تخصص جراحة يد جاى قريب,obj,place-,1,Place-Inquiry,وعاوزة اعرف مفيش خبير من برة مصر تخصص جراحة يد جاي قريب
احسن دكتور عظام كشفت عنده ما شاء الله,pos,Medical_consult-,1,Positive-Feedback,احسن دكتور عظام كشفت عنده ما شاء الله
الكشف كام ومواعيده فى اسكندرية,obj,price-datetime-place-,1,Mixed-Inquiries,الكشف كام ومواعيده في اسكندرية
بالتوفيق دائما دكتور عمرو,pos,,0,Positive-Feedback,بالتوفيق دائما دكتور عمرو
هل فى إمكانية الزيارة المنزليه,obj,support-,1,Insurance-Inquiry,هل في امكانية الزيارة المنزليه
ممكن العنوان بالقاهرة عشان احجز دكتور قلب,obj,place-PriceBooking-place-,1,Mixed-Inquiries,ممكن العنوان بالقاهرة عشان احجز دكتور قلب
نفس الي قلته حضرتك موجود عندي اعمل ايه والعلاج ايه من فضلك,obj,place-Medical_consult-place-,1,Mixed-Inquiries,نفس الي قلته حضرتك موجود عندي اعمل ايه والعلاج ايه من فضلك
دكتور انا بتعب من أقل مجهود ومش قادره امشي ولو نزلت كل شويه اقعد في الشارع  واسند مش قادره أقف وفيه تورم في وش القدمين خفيف بيزيد لما أقف كتير مع العلم انا مريضه سكر وضغط,obj,Medical_consult-,1,Medical-Consultation,دكتور انا بتعب من اقل مجهود و ما قادره امشي ولو نزلت كل شويه اقعد في الشارع واسند ما قادره اقف وفيه تورم في وش القدمين خفيف بيزيد لما اقف كتير مع العلم انا مريضه سكر وضغط
انا بتعب من اى مجهود ورجلى بتورم والرجل االشمال بتورم اكثر,obj,Medical_consult-,1,Medical-Consultation,انا بتعب من اي مجهود ورجلي بتورم والرجل الشمال بتورم اكثر
عندكم رسم قلب بالمجهود وفين اقرب مكان لمحطة الرمل,obj,place-support-place-,1,Mixed-Inquiries,عندكم رسم قلب بالمجهود وفين اقرب مكان لمحطة الرمل
السلام عليكم  ورحمة  الله  وبركاته  لو سمحت  ممكن اعرف الحجز بكره الساعه كام  علشان انا  جايه من  بعيد ممكن رد,obj,price-,1,Price-Inquiry,السلام عليكم ورحمة الله وبركاته لو سمحت ممكن اعرف الحجز بكره الساعه كام علشان انا جايه من بعيد ممكن رد
طيب انا رجلى بتورم وسخنة جدا وعملت تحليل طلعت زيادة نسبة يوريك اسيد واملاح وعندى نهجان عادى هو ممكن يكون له علاقة بالقلب,obj,Medical_consult-,1,Medical-Consultation,طيب انا رجلي بتورم وسخنة جدا وعملت تحليل طلعت زيادة نسبة يوريك اسيد واملاح وعندي نهجان عادي هو ممكن يكون له علاقة بالقلب
فيه نهجان مع أقل مجهود وفيه ورم في وش القدمين بس الورم ده مش ثابت بيروح وييجى والضغط أحيانا بيعلى برضه مش على طول محتاجة اعرف المواعيد والكشف كام,obj,price-datetime-Medical_consult-,1,Mixed-Inquiries,فيه نهجان مع اقل مجهود وفيه ورم في وش القدمين بس الورم ده ما ثابت بيروح ويجي والضغط احيانا بيعلي برضه ما علي طول محتاجة اعرف المواعيد والكشف كام
كل الأعراض دي عندي ومركبه دعامتين  وورم في الرجل ونهجان من أقل مجهود,obj,Medical_consult-,1,Medical-Consultation,كل الاعراض دي عندي ومركبه دعامتين ورم في الرجل ونهجان من اقل مجهود
