message,predicted,tags,inquiry,ALL_Categories
انا عندي ضغط غير مستقر وباهد علاج اكسفروج عيار خمسة بس احيانا بينزل ضغط ومابعرف اتصرف ازاي,obj,,0,Other
التواصل مع حضرتك ازااي,obj,,0,Other
هل التدخل لعلاج الشريان التاجية عبر الجلد اجراء آمن ,obj,,1,General-Inquiry / Consultation
سؤال تاني بعد اذنك  يادكتور قبل عمل القسطرة الشريان التاجي بنوقف اسبرين ,obj,,0,Other
غضاريف بالرقبة يادكتور,obj,,0,Other
ممكن سوال ,obj,,0,Other
انا مريضة ضغط و دايما ضربات القلب سريعه,obj,,0,Other
هل القسطرة التشخيصية آمنة ,obj,,1,General-Inquiry / Consultation
"دكتور بابا مريض ضغط فقط  
وبيجي وجع في الذراع الأيمن والصدر  بس بكون وجع متعب اووي   وربع ساعه بيكون كويس بس الوجع ده علي طول بس فترات",obj,,0,Other
دكتور ممتاز ربنا يبارك فيك,pos,,0,Positive-Feedback
اه عملت فحوصات والأشعة طلعت بيها ,obj,,0,Other
هو بالفعل معه ارتجاع وكنت اخدت علاج ووقفت,obj,,0,Other
هى عملت دعامة وقالولها لازم قلب مفتوح,obj,,0,Other
ابطل البيرليك والاسبرين امتى ,obj,,0,Other
متشكره جدا لحضرتك ,pos,,0,Positive-Feedback
لشكرا للافادة حضرتك,obj,,0,Other
ماهو رباعي فالوت,obj,,0,Other
الاستاذ الدكتور محمد عاطف منور جدا ,pos,,0,Positive-Feedback
دكتور ممتاز بارك الله فيك ,pos,,0,Positive-Feedback
جزاك الله خير ,pos,,0,Positive-Feedback
دكتور بارك الله فيك وجزاك الله خيرا,pos,,0,Positive-Feedback
"هل ارتفاع الدهون الثلاثية بترفع الضغط وتعمل ضربات قلب سريعه
",obj,,1,General-Inquiry / Consultation
دكتور انا بعاني من ضغط عالي يوم ١٤٠٩٠و يوم تاني يوصل ٩٠٦٠ و انا عندي٢٤ سنة ,obj,,0,Other
هل يمكن علاج الثقوب بالقسطره ,obj,,1,General-Inquiry / Consultation
مسا الخير يا دكتور انا عندي دايما نغزه في ناحيه القلب وكان الدكتور قال إن عندي ارتخاء فهل ده ممكن يكون السبب,obj,,0,Other
مساء الانوار ,obj,,0,Other
امتى اقدر ابطل البيرليك ,obj,,0,Other
نجم النجوم,pos,,0,Positive-Feedback
وبعمل دايت كمان ,obj,,0,Other
دكتور زوجي 35 سنه بيشتكي من تنميل بالراس,obj,,0,Other
واحيانا تنميل بالوجه,obj,,0,Other
المصطفى المختار,obj,,0,Other
عندي نهجان وضيق في التنفس من أقل مجهود وخصوصا طلوع سلم ليس عندي أمراض سوي كولسترول مرتفع ودهون علي الكبد الحل ايه,obj,,1,General-Inquiry / Consultation
انا بيحصلي نغزة جامدة في صدرى الشمال بتحصل مرة واحدة وبتكرر كل يوم وضيق في النفس وزيادة ضربات قلبي عند عمل اي مجهود,obj,,0,Other
عندي سخونة  جامدة جدا فى ظهرى تحت الكتف الايسر وقد تصل الى الكتف الايسر والزراع فى بعض الأوقات وليس  كل الوقت وخاصة بعد الأكل والشرب والنوم عند الفجر,neg,,0,Negative-Feedback
انا عندي نغزه جامده اوي في قلبي لو اتكلمت كتير قلبي يوجعني لو ضحكت كتير قلبي يوجعني وسعات زراعي الشمال يوجعني جدا وشكرا لحضرتك,obj,,0,Other
عندي ضغط عالي ترتخاء في الصمام المترالي وبقالي 3 شهور رجلي بتورم وجسمي روحت لكذا دكتور قالي القلب بيعمل مايه وان ورم رجلي ده ماية من القلب ومن غير مايعملو ايكو بس اما اخدت برشام اكساميد يومين بالظبط والورم راح بس لحد دلوقتي نغز جامد في قلبي وتقل ونهجان من اقل مجهود ورجعت رجلي تورم تاني ﻻن اخر دكتور وقفلي كل العﻻج وكتبلي كونكور 5 بﻻس ممكن ايه المفروض اعمله او اخده  ,obj,,1,General-Inquiry / Consultation
الحجز عند الدكتور بكام وبرنامجالكشف بيشمل ايه,obj,price-,1,Price-Inquiry
عاوز احجز انف واذن وحنجرة,obj,,0,Other
عندى ضغط منذ ٢٤ عام علاجى اتغير مرة واحدة هل من ضرر على القلب وماذا افعل لكى احافظ على سلامة قلبى لمدة أطول وعمرى الان ستون عاما,obj,,1,General-Inquiry / Consultation
كل الأحاسيس دي موجوده عندي وعملت ايكو وقال مفيش حاجه توتر,obj,,0,Other
لو سمحت الكشف كام,obj,price-,1,Price-Inquiry
"مواعيد حضرتك 
سعر الكشف",obj,price-datetime-,1,Mixed-Inquiries
مواعيد حضرتك امتي,obj,datetime-,1,Appointments-Inquiry
المواعيد بعد ازنك ايه,obj,datetime-,1,Appointments-Inquiry
ممكن اعرف سعر النبضة,obj,price-,1,Price-Inquiry
المواعيد الجلدية امتي,obj,datetime-,1,Appointments-Inquiry
بكام النبضه,obj,price-,1,Price-Inquiry
فيه جلسات ليزر لتفتح البشره وازاله النمش والبقع الداكنه,obj,,0,Other
ممكن اعرف تفاصيل التكلفة ف الاسكندرية,obj,price-,1,Price-Inquiry
لو سمحت بكام,obj,price-,1,Price-Inquiry
بكام التقشير,obj,price-,1,Price-Inquiry
كام السعر لو سمحت,obj,price-,1,Price-Inquiry
ممكن أعرف بكام  فى المعادى,obj,price-,1,Price-Inquiry
ممكن التواصل ع الخاص,obj,,0,Other
بكام التقشير الطبيعي,obj,price-,1,Price-Inquiry
ماهو التقشير الطبيعى,obj,,0,Other
بكام لو سمحت,obj,price-,1,Price-Inquiry
ممكن اعرف السعر لو سمحت,obj,price-,1,Price-Inquiry
بكام فرع الاسكندرية ,obj,price-place-,1,Mixed-Inquiries
منور يا د عمرو مبارك ان شاء الله,pos,,0,Positive-Feedback
من الأطباء المميزين جدا جمع العلم و المهارة و الأخلاق السامية تمنياتي لك بالتوفيق ,pos,,0,Positive-Feedback
منور أندلسية و منور الدنيا كلها كالعادة ,pos,,0,Positive-Feedback
من اشطر اطباء جراحه العظام و اخلاق و ذوق بالتوفيق يا دكتور عمرو ,pos,,0,Positive-Feedback
"أشطر دكتور عظام في مصر كلها 
ما شاء الله",pos,,0,Positive-Feedback
منور يا اجدع دكتور عظام منور اسكندريه,pos,,0,Positive-Feedback
الدكتور ده ممتاز جدا جدا,pos,,0,Positive-Feedback
"الله عليك يا عموري منور الدنيا يا زعيم
بسم الله ماشاء الله",pos,,0,Positive-Feedback
مواعيده,obj,datetime-,1,Appointments-Inquiry
كام الكشف,obj,price-,1,Price-Inquiry
وعاوزة اعرف مفيش خبير من برة مصر تخصص جراحة يد جاى قريب,obj,,1,General-Inquiry / Consultation
احسن دكتور عظام كشفت عنده ما شاء الله,pos,,0,Positive-Feedback
الكشف كام ومواعيده فى اسكندرية,obj,price-,1,Price-Inquiry
بالتوفيق دائما دكتور عمرو,pos,,0,Positive-Feedback
هل فى إمكانية الزيارة المنزليه,obj,,1,General-Inquiry / Consultation
ممكن العنوان بالقاهرة عشان احجز دكتور قلب,obj,place-,1,Place-Inquiry
نفس الي قلته حضرتك موجود عندي اعمل ايه والعلاج ايه من فضلك,obj,,1,General-Inquiry / Consultation
دكتور انا بتعب من أقل مجهود ومش قادره امشي ولو نزلت كل شويه اقعد في الشارع  واسند مش قادره أقف وفيه تورم في وش القدمين خفيف بيزيد لما أقف كتير مع العلم انا مريضه سكر وضغط,obj,,0,Other
انا بتعب من اى مجهود ورجلى بتورم والرجل االشمال بتورم اكثر,obj,,0,Other
عندكم رسم قلب بالمجهود وفين اقرب مكان لمحطة الرمل,obj,,0,Other
السلام عليكم  ورحمة  الله  وبركاته  لو سمحت  ممكن اعرف الحجز بكره الساعه كام  علشان انا  جايه من  بعيد ممكن رد,obj,price-,1,Price-Inquiry
طيب انا رجلى بتورم وسخنة جدا وعملت تحليل طلعت زيادة نسبة يوريك اسيد واملاح وعندى نهجان عادى هو ممكن يكون له علاقة بالقلب,obj,,0,Other
فيه نهجان مع أقل مجهود وفيه ورم في وش القدمين بس الورم ده مش ثابت بيروح وييجى والضغط أحيانا بيعلى برضه مش على طول محتاجة اعرف المواعيد والكشف كام,obj,price-datetime-,1,Mixed-Inquiries
كل الأعراض دي عندي ومركبه دعامتين  وورم في الرجل ونهجان من أقل مجهود,obj,,0,Other
من فضلك  الدكتور هاني توفيق موجود بكره الساعه كام  لو سمحت  ممكن رد بسرعه,obj,price-,1,Price-Inquiry
لو سمحت  انا رقم الفون علشان احجز لو تكرمت علشان تعبانه قوي لو سمحت,obj,,1,General-Inquiry / Consultation
فين المكان  ده  لو  سمحت  هيه في اسكندرية  ولا القاهره للضروره,obj,,1,General-Inquiry / Consultation
ممكن دكتور عظام لزيارة منزليه,obj,,0,Other
في نهجان من اقل مجهود وتورم ف الساقين وخصوصا القدم اليسري و عندي تضخم ف البطين الايسر ف حل لتورم القدمين كل دكتور اروح له يقول مالها علاج,obj,,0,Other
"أنا عندي إرتفاع في ضغط الشريان الرئوي من حوالي 4سنوات وعندي 34 سنه وماشيه علي العلاج تمام
بس مفيش علاج اخده لفتره معينه يعالج حالتي بدل مدي  الحياه ده علشان تعبت من اخد الأدوية وكتيره",obj,,0,Other
دكتور انا بنهج من اقل حاجه بس مفيش تورم,obj,,0,Other
فى علاج لضعف عضله القلب,obj,,0,Other
دكتور  لو سمحت هو تضخم عضله القلب وكفاءة القلب ٣٥ بسبب ورم القدم مع سكر من ٢٥ سنة في خطر علي الحاله,obj,,1,General-Inquiry / Consultation
أنا عندى الاعارض ولاكن إبحث عن علاج,obj,,0,Other
"الحمد لله رب العالمين 
الحمد لله على كل حال",pos,,0,Positive-Feedback
ممكن نعرف ايه الحل ونعمل ايه انا عندى كل الأعراض دى,obj,,1,General-Inquiry / Consultation
العنوان فين في مدينة نصر,obj,place-,1,Place-Inquiry
طب فين مستشفي اندلسيه دي انا عاوزه العنوان بس مش عارفه ايه هو تسجيل اللينك ده,obj,place-,1,Place-Inquiry
يوجد عندي تورم في القدمين ولقد سبق وعملت جراحه تغيير مفصل,obj,,0,Other
نحجز ازاي,obj,,0,Other
السلام عليكم يا دكتوره انا بيجيلي نغزه في قلبي رحت للدكتور وقالت لي عندك ترخو صدري يعني ايه يا دكتوروشكرا,obj,,1,General-Inquiry / Consultation
مساء الخير يا دكتور انا عندي ارتجاع مرئ وبيجي علي صورة زبحه صدريه  وعندي مياه علي قصبت الرجل ووجع  الناحيه الشمال تحت الصدر جامد اعمل ايه,obj,,1,General-Inquiry / Consultation
الخفقان المستمر مع سرعه في ضربات القلب مع مريضه ربو,obj,,0,Other
فين مكان اندلسيه ,obj,,0,Other
حضرتك انا مريضه سكر رجلي ورمت من عند الركبه لغايه الصوابع ونشفت جدا محجره ارجو الرد,obj,,0,Other
اللي عنده الاعراض دي وعامل ايكو نتيجته ضعف عضله الانبساط فيه علاج للحالات دي,obj,,0,Other
الله يباركلك,pos,,0,Positive-Feedback
دكتور  انا عملت رسم قلب عادي والدكتور قالي كان عندك جلطة قبل كدا بس انا علشان مريضة سكر محستش بيها وطلب مني رسم قلب بالمجهود وانا الايام مش بتنفس كويس وينهج فلو سمحت  ايه المطلوب علشان اتاكد  واقرب مكان لابو قير فين,obj,,1,General-Inquiry / Consultation
دكتور لو سمحت انا عملت اشاعة ايكو والدكتور قال سليمة بس انا بيجى وجع فى قلبى ويروح وبنهج من اقل حاجة حتى لو باشرب نفسى بيروح,obj,,1,General-Inquiry / Consultation
قول ايه العلاج,obj,,1,General-Inquiry / Consultation
"بنتي بسمع صوت دقات قلبها  دقات سريعه ووراء بعضها لما بحط ايدي علي مكان القلب والدقات دي بتتعبها 
من فضل حضرتك يادكتور  كده عندها ايه",obj,,1,General-Inquiry / Consultation
ولدتي رجلها ورمه وبتنهج رحنا لدكتور قلب قال إني عضلت القلب ضعيفه بس مفيش تحسن في حلتها ممكن تفدوني,obj,,0,Other
من فضلك لو في خبير جراح في المخ والاعصاب,obj,,0,Other
دكتور عندي كل الأعراض ايه الفحوصات,obj,,1,General-Inquiry / Consultation
انا عندى تمانين سنه فهل الاعراض دى تنطبق عليه,obj,,0,Other
ممكن اعرف مكانكم فين,obj,,1,General-Inquiry / Consultation
كنت عايز احجز عياده جراحه العمود الفقري ,obj,,0,Other
من فضلك يادكتور انا عندى شريان تاجى بسيط باخد اسبانيلا ونتروماك 2ونص وسيولة جوسبرين عاظية جدا بنهج كتير من اقل مجهود حتى وانا بتكلم فى التليفون رجلى مش وارمة خالص ارجوا الأفادة,obj,,0,Other
طب بالنسبه ال بينهج لدرجه النفس بيكون شبه منقطع بعد طلوع السلم حتي لو مسافه بسيطه,obj,,0,Other
انا الطول بنهج حتى وانا قاعدة مع ورم القدمين فى الساق دا يبقى القلب تعبان ولا اية,obj,,0,Other
"اصبت بجلطة فى شرايين الرئہ وبعد العلاج باقراص رزالتو لمدة عام 
الحمد لله لكن باحس دلوقتى بنهجان مع اي مجهود وده ماكانش ببحصل قبل كدة",obj,,0,Other
دكتور لو سمحت أنا بنهج كتير وخصوصا لوطلعت دور واحد ورجلى وارمة من أسفل على طول,obj,,1,General-Inquiry / Consultation
دكتور لو سمحت انا عندى سرعه فى ضربات القلب ونهجان وعمرى ٣٣عام وبرضع بيبى ٦شهور,obj,,1,General-Inquiry / Consultation
وعايزين نحجز مع دهانى,obj,,0,Other
العنوان والكشف كام,obj,price-place-,1,Mixed-Inquiries
والكشف كام,obj,price-,1,Price-Inquiry
مكانكم فين,obj,,0,Other
عندي الم في منتصف الصدر يحدث بعد المجهود عملت اشاعه علي القلب ومفيش حاجه  ما اسباب الام  في القلب بدون تعرق او نهجان,obj,,0,Other
هل ممكن استشارة شفهية,obj,,1,General-Inquiry / Consultation
فيه تعامل مع النقابات,neg,,0,Negative-Feedback
مواعيد الدكتور في المستشفي,obj,datetime-,1,Appointments-Inquiry
هو التورم بيحصل فى مشط الرجل اليمين لما بعمل مجهود او اقف شويه مع الاعراض اللى حضرتك ذكرتها,obj,,0,Other
فين مكان,obj,,0,Other
دكتور أنا مريضة قلب بمعني إني مولدة بعيب خلقي في القلب ومع مرور السنين والزواج والإنكار حصل إن الصمام الأورطي أتلف تمام وأصبح غير قادر إنه يقوم بوظيفته في ضخ الدم للجسم والدكتورة أجعوا إنه يعني أوضح صدي وتمت لي عملية قلب مفتوح وتغيرالصمام ودلوقتي عندي 60سنه وقدمي بتورم وبنهج وكنت من قريب بمعاني من رفرفةبالقلب إيه الحل أرجوا إفادتي ولك جزيل الشكر,obj,,1,General-Inquiry / Consultation
بكام رسم قلب ايكو,obj,price-,1,Price-Inquiry
دكتور أنا مريضة سكر وضغط وقصور الشريان التاجي وفى نهجان من أقل مجهود سنى ٤٢سنة وضربات قلبي سريعه وكنت ماشية على علاج وبعدين وقفت  دلوقتى بحس بوجع فى صدرى ده حاجة جديدة غير الالم اللى فى الصدر والنغز ومسمع فى ضهرى ووجع فى كتفى الشمال هل القسطرة ضرورى,obj,,1,General-Inquiry / Consultation
ممكن تفاصيل,obj,,0,Other
فشل عضلة القلب معروفة من زمان لكن تورم القدمىن فجاءة بدون سابق انظار دى فىها شك كبير فى حاجات كتىر ربنا ىشفى كل مرىض,obj,,1,General-Inquiry / Consultation
لو سمحت يا دكتور انا بنهج كتير وكشفت والدكتور قالى عندى التهبات على سدرى صح ولا,obj,,1,General-Inquiry / Consultation
دكتور انا عندي تضخم في العضلة اليسري من القلب وفعلا بيحصل نهجان وتورم في القدمين وبتابع علي فترات بعيدة اية المفروض اعملة بشكل دوري,obj,,0,Other
طيب ايه علاج النهجان ن أقل مجهود وثورة القدمينورجفه في القلب من وقت لآخر أثناء الراحه,obj,,1,General-Inquiry / Consultation
هل يا دكتور تورم الرجلين ووجع فيهم جامد بيدل علي تعب القلب الرجلين وليس القدمين فقط,obj,,1,General-Inquiry / Consultation
لو سمحت يا دكتور انا بشعر بنهجان لاقل مجهود وعندي تورم في القدم اليسري فقط فهل هذا يعتبر التهاب خلوي لاني تم حجزي بالحميات للالتهاب الخلوي ولا فيه حاجة بعضلة القلب ,obj,,1,General-Inquiry / Consultation
الله يبارك لك يا دكتور فجزاك الله خيرا على هذا العمل الطيب و يجعله في ميزان حسناتك اللهم امين,pos,,0,Positive-Feedback
العنوان فين من فضلك,obj,place-,1,Place-Inquiry
مكان العياده فين,obj,,0,Other
ممكن يكون سببب النهجان زيادة المياه فى الرئتين,obj,,0,Other
يارب يوفقك لشفاء كل مريض يا دكتور هاني من أفضل الأطباء اللي عرفتهم,pos,,1,General-Inquiry / Consultation
دكتور انا تعرض لحدث وفاه احد اقاربى منذ اياموبعد ذلك حسيت بدور شديد وروحت المستشفى وعلقولى محليل ولكن بدات احس بتعرق شديد وهبوط وعدم القدره على الاتزان ونهجان شديدوبعمل الاشعه ورسم القلب ظهر وجودانسداد صغير فى جزء صغير من الجدارواخذت ادويه موسعه لشريين ومزيبات جلطات ولكن بشعر بتحسن ببطءولسه حسه بعدم التزان والهبوط,obj,,0,Other
السلام عليكم ورحمه الله وبركاته ولدتى 70سنه تعانى من السكر والضغط والمراره واليومين دول رجليها بتورم وعملنا تحليل ومفيش حاجه ايه العمل,obj,,1,General-Inquiry / Consultation
دكتور هوة فيه اشعه بلصبغه على الشرين التاجى,obj,,0,Other
بارك الله فيك وجزاك خيرا يا اخي الفاضل,pos,,0,Positive-Feedback
دكتور انا بحس بكل الاعراض دي ممكن اعرف مواعيد حضرتك امته,obj,datetime-,1,Appointments-Inquiry
Rasha Ghalab احنا اهو,obj,,0,Other
ربنا يشفي كل مريض ويعافيه بفضله وكرمه,obj,,0,Other
حمو الزعيم,obj,,0,Other
ربنا يشفي كل مريض يارب,obj,,0,Other
ربنا يسترها,obj,,0,Other
الله يطمنك,pos,,0,Positive-Feedback
مصطفى معوض,obj,,0,Other
بكام الولادة القيصرية المشيمة الملتصقة فى الجرح القيصرى,obj,price-,1,Price-Inquiry
ربنايوفقك ياااااارب يادكتور راني,pos,,0,Positive-Feedback
"بكام الكشف 
وايه المواعيد 
ب فرع الاسكندرية",obj,price-datetime-place-,1,Mixed-Inquiries
بالتوفيق يا دكتور,pos,,0,Positive-Feedback
ربنا يباركلك احسن دكتور شوفته ف حياتي,pos,,0,Positive-Feedback
المواعيد ايه لو سمحتو,obj,datetime-,1,Appointments-Inquiry
ممكن اعرف الكشف ف الشلالات بكام,obj,price-,1,Price-Inquiry
دكتورى حبيبي بجد اشطر دكتور شفته كفايه العامل النفسي بجد بالتوفيق يا دكتور,pos,,0,Positive-Feedback
احسن مستشفى فعلا حصل معيه كده والمستشفى كان ليهم الفضل بعد ربنا طبعا,pos,,0,Positive-Feedback
بكام البوسير والشرخ جراحه ولا ليزر,obj,price-,1,Price-Inquiry
د تسنيم  من انضف و أشطر الجراحيين اللي اتعاملت معاهم و اتعلمت منهم,pos,,0,Positive-Feedback
مفيش ارقام تليفون لاحجز,obj,,0,Other
من اشطر واجمل الدكاتره الا ممكن اى حد يكشف معاها,pos,,0,Positive-Feedback
ربنا يوفقك,pos,,0,Positive-Feedback
"بالتوفيق يا دكتور
من اكتر الناس امانه وضمير وشطاره",pos,,0,Positive-Feedback
بالتوفيق د تسنيم  من أشطر الجراحيين اللي اتعلمت منهم,pos,,0,Positive-Feedback
بالتوفيق د تسنيم من اشطر الجراحين اللي الواحد اتعلم منهم,pos,,0,Positive-Feedback
بالتوفيق يا دكتورة تسنيم ,pos,,0,Positive-Feedback
من احسن الشخصيات و احسن الجراحين بالتوفيق,pos,,0,Positive-Feedback
ربنا يوفقك  وينفع بيكي,pos,,0,Positive-Feedback
بداية موفقة يارب ,pos,,0,Positive-Feedback
من انضف الشخصيات واحلاهم ,pos,,0,Positive-Feedback
بالتوفيق ان شاء الله يا د تسنيم,pos,,0,Positive-Feedback
بالتوفيق د تسنيم,pos,,0,Positive-Feedback
بالتوفيق يا دكتور ربنا يكرمك ويوفقك أن شاء الله,pos,,0,Positive-Feedback
بالتوفيق يا باشا  وربنا يوفقك يارب,pos,,0,Positive-Feedback
محتاجة اعرف الدكاترة المتواجدة جراحة عامة لفتئ اربى,obj,,1,General-Inquiry / Consultation
بالتوفيق ان شاء الله د تسنيم,pos,,0,Positive-Feedback
بكاام,obj,price-,1,Price-Inquiry
ممكن اعرف تكاليف اي فرع الاسكندرية,obj,price-place-,1,Mixed-Inquiries
بكام ازاله الزوائد  الجلدية فى الرقبه,obj,price-,1,Price-Inquiry
بكام بعد اذنك وبتبقى كام جلسة فى اسكندرية,obj,price-,1,Price-Inquiry
بكام الجلسه وبيحتاج كام جلسه,obj,price-,1,Price-Inquiry
الجلسه للنمش وتصبغات الشمس,obj,,0,Other
بكام للحفر لو سمحت,obj,price-,1,Price-Inquiry
بكام علامات فى الوجه ولونها غامق لو عايزة بشرتى موحده,obj,price-,1,Price-Inquiry
بكام ,obj,price-,1,Price-Inquiry
بكام جلسه,obj,price-,1,Price-Inquiry
لكام,obj,,0,Other
كام,obj,price-,1,Price-Inquiry
الجلسة بكام ,obj,price-,1,Price-Inquiry
"بكام لو سمحت 
وعنوانكم فين ف الإسكندرية",obj,price-place-,1,Mixed-Inquiries
بكام ازاله حبوب الشباب واثارها باليزر فرع الاسكندريه,obj,price-place-,1,Mixed-Inquiries
السنط ازالة بكم,obj,price-,1,Price-Inquiry
ما هو ال snapon ,obj,,0,Other
دكتور تكلفة التقويم للاسنان الاماميه كام,obj,price-,1,Price-Inquiry
هل الزراعة ناجحة مع مرضي السكري,obj,,1,General-Inquiry / Consultation
ولو اللثة اللي هيتزرع فيها متاكلة او فيها مشكلة ايه الحل رجاء الرد,obj,,1,General-Inquiry / Consultation
ممكن حضرتك تكلمنا عن انواع  implants  ,obj,,0,Other
في حشو اسنان بالليزر للاطفال,obj,,0,Other
ثمن النبضه,obj,,0,Other
والجلسه الواحدة بكام,obj,price-,1,Price-Inquiry
تكلفه الجسم كامل,obj,price-,1,Price-Inquiry
ممكن اعرف العنوان,obj,place-,1,Place-Inquiry
وعايزة اعرف المواعيد من فضلك وسعر الكشف,obj,price-datetime-,1,Mixed-Inquiries
وهل ليه اثار جانبية,obj,,1,General-Inquiry / Consultation
بكم النبضة والجهاز نوعه ايه,obj,price-,1,Price-Inquiry
بكم النبضة والجهاز نوعه اي وهل لازم كشف,obj,price-,1,Price-Inquiry
تفاصيل من فضلكم,obj,,0,Other
تفاصيل لو سمحتي           اسكندرية,obj,,1,General-Inquiry / Consultation
مستشفيات أندلسية  Andalusia Hospitals ايه للعروض الموجودة ,obj,,1,General-Inquiry / Consultation
التفاصيل,obj,,0,Other
بكام الجلسه ولا بنبضه,obj,price-,1,Price-Inquiry
ممكن مواعيد دكتورة رشا لوسمحت,obj,datetime-,1,Appointments-Inquiry
وسعر الكشف والمواعيد والجلسه,obj,price-datetime-,1,Mixed-Inquiries
كلام جميل ومهم وبسيط,pos,,0,Positive-Feedback
المختصر المفيد احسنت يا هيثم بجد,pos,,0,Positive-Feedback
دكتور هيثم ربنا يديم عليك الصحه والعافيه ويبارك في عمرك حضرتك مطمئني دائما ورافع معنوياتي اشكرك شكرا جزيلا,pos,place-,1,Place-Inquiry
احسن وافضل دكتور قلب في العالم مش بمصر فقط نموذج مشرف لكل عربي  المختصر المفيد احسنت دكتور هيثم الغالي,pos,,0,Positive-Feedback
محترم جدا كلامه يوصل لجميع العقول,pos,,0,Positive-Feedback
الدكتور المحترم اللي عنده ضمير و دايما بيطمني ربنا يبارك لك يارب و يزيد علمك,pos,,0,Positive-Feedback
دكتور هيثم ربنا يزيدك علم ويبارك فى صحتك وعمرك,pos,,0,Positive-Feedback
بالتوفيق يا د هيثم,pos,,0,Positive-Feedback
كلام حضرتك في منتهى الأهمية ربنا يكرمك يارب,pos,,0,Positive-Feedback
دكتورى اللى ليه معزة خاصة فى قلبى ذوى الخلوق ذوى الاخلاق العالية ربنا يبارك فيك ويوفقك يااااااااااااااااااااارب,pos,,1,General-Inquiry / Consultation
عندي الاعراض وعملت ايكو ومطلعش في حاجه  هل كافيه   او في اشاعه اخري توضح اسباب الاعراض,obj,,1,General-Inquiry / Consultation
فين العيادة بتاعتة غير اندلسية,obj,,0,Other
جزاك الله عنا كل خير وربنا يجعله في ميزان حسناتك يااااااااااااااااااااارب,pos,,0,Positive-Feedback
جزاك الله خيرا يادكتور,pos,,0,Positive-Feedback
بكام علاج العصب والكراون,obj,price-,1,Price-Inquiry
شاب خلع الضرس وهو ف سن 16هل عيطلع ضرس مكنه,obj,,0,Other
دكتور محمد رضا,obj,,0,Other
الحشوو بكام,obj,price-,1,Price-Inquiry
في حشو بالليزر للاطفال,obj,,0,Other
الحشوو  بكام,obj,price-,1,Price-Inquiry
ممكن اعرف مواعيده في الشلالات,obj,datetime-,1,Appointments-Inquiry
رقم للكشف فرع الشلالات من فضلك ,obj,place-,1,Place-Inquiry
بالتوفيق داحمد انشاء الله,pos,,0,Positive-Feedback
انا عندي وجع في اخر ضلع من الجهة اليمين اكشف ايه من فضلكم,obj,,1,General-Inquiry / Consultation
بالتوفيق د أحمد انت مكسب و اضافة لأي مكان تعمل فيه,obj,,0,Other
"دكتور محترم و صديق عزيز و اضافة تثري المجموعة
اهلا وسهلا بك يا دكتور أحمد",pos,,0,Positive-Feedback
"اقدر اعرف متاح خدمة وظيفة التنفس لقياس كفاءة الرئه وايه سعرها
فرع اسكندريه",obj,price-place-,1,Mixed-Inquiries
بالتوفيق ان شاء الله ,pos,,0,Positive-Feedback
مككن اعرف كشف كام,obj,price-,1,Price-Inquiry
ممكن اعرف الكشف كام والمواعيد وكمان هو حضرتك دكتور اطفال ولا كبار,obj,price-datetime-,1,Mixed-Inquiries
ممكن اعرف مواعيد دكتور احمد صدقة في اي فرع من اندلسية سموحة,obj,datetime-place-,1,Mixed-Inquiries
بكام زراعة الضرس وانواعها,obj,price-,1,Price-Inquiry
بكام زراعة الضرس من فضلك,obj,price-,1,Price-Inquiry
ممكن رقم مكتب الاتش ار بتاع مستشفى الأندلسيه الشلالات لو سمحتم او  اي رقم للمستشفى,obj,,1,General-Inquiry / Consultation
بكام زراعه الدرس,obj,price-,1,Price-Inquiry
بكام الضرس,obj,price-,1,Price-Inquiry
سعر الجلسة ف الاسكندرية,obj,price-,1,Price-Inquiry
سعر الجلسه فى الاسكندرية,obj,price-,1,Price-Inquiry
ممكن سعر الجلسة,obj,price-,1,Price-Inquiry
بكام سعر الجلسه للوش والشعر وكام امبول,obj,price-,1,Price-Inquiry
بكم الجلسه في الاسكندريه ,obj,price-,1,Price-Inquiry
للسعر,neg,price-,1,Price-Inquiry
ممكن تفاصيل وسعر,obj,price-,1,Price-Inquiry
الاسعار من فضلك,obj,price-,1,Price-Inquiry
سعر الجلسه كام,obj,price-,1,Price-Inquiry
العنوان فى اسكندرية  والمعادى ,obj,place-,1,Place-Inquiry
بكااام,obj,price-,1,Price-Inquiry
بكام حقن البلازما والميزوثرابي للوجه وهل بتتاخد ببنج منعا لألم,obj,price-,1,Price-Inquiry
سعر جلسة البلازما كام ,obj,price-,1,Price-Inquiry
حقن البلازما بكام,obj,price-,1,Price-Inquiry
كنت عايز دكتور غدد صماء والهرمونات,obj,,0,Other
عنوان وسعر الكشف,obj,price-place-,1,Mixed-Inquiries
دكتور مين أطفال تخصص صدر,obj,,0,Other
عنوان فرع اسكندريه,obj,place-,1,Place-Inquiry
بكام الكشف والمواعيد,obj,price-datetime-,1,Mixed-Inquiries
"بكام الكشف والمواعيد
وهل في تعاقدات",obj,price-datetime-,1,Mixed-Inquiries
"بالتوفيق دكتورنا الغالي
أضافه كبيره للمكان وإن شاء الله تحدث الفارق",pos,,0,Positive-Feedback
د سامح افضل دكتور اطفال ف مصر بجداره والله,pos,,1,General-Inquiry / Consultation
المواعيد امته,obj,datetime-,1,Appointments-Inquiry
في اي فرع,obj,place-,1,Place-Inquiry
عبقري الأطفال,pos,,0,Positive-Feedback
